Page,Page Description,Page Structure,Page Content,Main link,Labels,SEO title,SEO Description,SEO slug,Design,Development,QA,Content managment,UI Kit,Domain purchase,Webflow subscription 1/y
"1.1 首頁","","","","","","","","","0","0","0","0","","",""
"2.0 產品管理","","","","","No Page","","","","0","0","0","0","","",""
"2.1 產品列表","","","","","","","","","0","0","0","0","","",""
"2.1.1 分類編輯頁","","","","","","","","","0","0","0","0","","",""
"2.1.2 篩選器編輯頁","","","","","","","","","0","0","0","0","","",""
"2.1.3 產品編輯頁","","","","","","","","","0","0","0","0","","",""
"2.2 Tag 列表","","","","","","","","","0","0","0","0","","",""
"2.2.1 Tag 編輯頁","","","","","","","","","0","0","0","0","","",""
"2.3 產品管理設定","","","","","","","","","0","0","0","0","","",""
"2.3.1 產品語系編輯","","","","","","","","","0","0","0","0","","",""
"2.3.2 產品規格編輯","","","","","","","","","0","0","0","0","","",""
"3.0 檔案管理","","","","","No Page","","","","0","0","0","0","","",""
"3.1 檔案列表","","","","","","","","","0","0","0","0","","",""
"3.1.1 檔案分類編輯頁","","","","","","","","","0","0","0","0","","",""
"3.1.2 檔案編輯頁","","","","","","","","","0","0","0","0","","",""
"4.0 帳號管理","","","","","No Page","","","","0","0","0","0","","",""
"4.1 團隊成員列表","","","","","","","","","0","0","0","0","","",""
"4.1.1 團隊成員編輯頁","","","","","","","","","0","0","0","0","","",""
"4.2 角色權限列表","","","","","","","","","0","0","0","0","","",""
"4.2.1 角色權限編輯頁","","","","","","","","","0","0","0","0","","",""
"5.0 系統設定","","","","","No Page","","","","0","0","0","0","","",""
"5.1 SMTP 列表","","","","","","","","","0","0","0","0","","",""
"5.1.1 SMTP 設定頁","","","","","","","","","0","0","0","0","","",""
"5.2 Log 列表頁","","","","","","","","","0","0","0","0","","",""
"1.0 登入頁","","","","","","","","","0","0","0","0","","",""
"1.2 404","","","","","","","","","0","0","0","0","","",""
"1.3 403","","","","","","","","","0","0","0","0","","",""
"Subtotal","","","","","","","","","0","0","0","0","0","0","0"
"Taxes (5%)","","","","","","","","","0","0","0","0","0","0","0"
"Total","","","","","","","","","","","","","","","0"